"gender","title","start","stop","speaker"
"female","Insanity to innovation  Aarthi C Rajaratnam at TEDxSonaCollege.mp3","0.17","18.08","Aarthi C Rajaratnam"
"female","Break the stereotype against women   Aashna Jalan   TEDxYouth+AEA-OIS.mp3","0.09","17.14","Aashna Jalan"
"female","A taboo+AC0-free way to talk about periods   Aditi Gupta   TEDxGatewayWomen.mp3","0.1","11.09","Aditi Gupta"
"female","The serious business of comedy   Aditi Mittal   TEDxIIFTDelhi.mp3","0.04","18.44","Aditi Mittal"
"male","Lie and lie till you succeed   Akshay Agarwal   TEDxYouth+AEA-OIS.mp3","1.03","17","Akshay Agarwal"
"male","Simple ideas to innovative buildings  Alok Shetty at TEDxMuscat 2013.mp3","0.12","14.52","Alok Shetty"
"female","How I chose to become a Stunt Rider   Anam Hashim   TEDxIITHyderabad.mp3","0.44","10.07","Anam Hashim"
"female","Follow your Passion   Ananda Shankar Jayant   TEDxGatewayWomen.mp3","0.11","13.1","Ananda Shankar Jayant"
"female","The Power of Breath  Yoga's Psychological Benefits   Anjali Mehta   TEDxYouth+AEA-SAS.mp3","0.55","14.2","Anjali Mehta"
"male","TEDxGolfLinksPark +AC0- Anshuman Bapna.mp3","0.2","20.25","Anshuman Bapna"
"female","How my alter ego helped me find myself   Anu Menon   TEDxMICA.mp3","0.13","18.06","Anu Menon"
"female","Using cellphones and crowdsourcing to get water to the thirsty  Anu Shridharan at TEDxGateway.mp3","0.05","10.16","Anu Shridharan"
"male","TEDxMumbai +AC0- Anupam Kher +AC0- 04 03 10.mp3","0.04","21.16","Anupam Kher"
"male","TEDxESPM +AC0- Anurag Kashyap +AC0- Black Friday.mp3","0.15","19.18","Anurag Kashyap"
"female","+ACI-Indian Actress Anushka Shetty speaks on TeachAIDS.mp3+ACI-","0.12","8.1","Anushka Shetty"
"female","TEDxGolfLinksPark +AC0- Aradhana Goel +AC0- Innovation in Indian style.mp3","0.2","15.1","Aradhana Goel"
"female","Responding to Rising Armed Conflict in South Asia   Binalakshmi Nepram   TEDxSecunderabad.mp3","0.11","17.45","Binalakshmi Nepram"
"male","Being Who You Want To Be   Biswapati Sarkar   TEDxFMS.mp3","0.16","17.39","Biswapati Sarkar"
"female","TEDxGolfLinksPark +AC0- Chitra Vishwanath +AC0- Ecological Architecture.mp3","0.21","13.23","Chitra Vishwanath"
"male","Unwavering Focus   Dandapani   TEDxReno.mp3","0.15","16.55","Dandapani"
"male","Our Understanding of Astronomy   Debiprasad Duari   TEDxJadavpurUniversity.mp3","0.17","18.53","Debiprasad Duari"
